100 500
32 89 1
71 76 1
89 70 5
26 88 6
36 70 4
76 29 6
5 37 2
59 64 6
93 7 4
18 14 10
82 32 5
89 86 3
79 65 8
0 48 3
76 62 8
97 12 5
11 67 2
80 15 4
48 64 5
25 31 7
16 42 2
33 29 1
63 79 7
55 6 9
38 34 7
15 52 10
57 98 7
73 88 9
12 40 10
35 62 5
19 1 5
73 56 8
15 64 2
54 87 9
96 14 4
92 79 8
96 39 9
48 26 5
57 12 8
85 6 2
90 74 10
25 78 6
26 62 9
85 65 5
59 71 9
12 1 7
23 16 9
64 56 4
1 47 9
88 16 8
52 91 7
40 30 4
80 54 6
78 70 5
38 63 8
40 61 5
70 37 10
81 67 3
73 17 10
76 48 3
73 4 4
90 18 8
85 89 8
95 12 1
89 28 7
34 30 7
14 58 5
84 31 6
62 38 10
70 7 5
54 79 6
42 45 2
64 78 7
97 76 8
45 30 2
90 48 6
63 53 4
42 76 8
18 87 6
63 16 10
77 17 9
18 46 4
33 19 1
14 41 2
56 83 2
97 31 8
77 97 7
41 53 7
90 69 10
76 60 10
43 38 5
33 2 7
47 3 10
94 0 2
93 12 10
99 16 2
18 59 4
72 20 10
61 28 9
63 51 7
87 80 1
36 97 8
18 82 10
69 13 2
1 7 5
70 87 8
58 95 9
26 99 6
9 2 5
47 45 9
9 58 3
67 35 1
23 36 8
47 97 7
22 51 10
49 74 2
37 90 3
57 10 10
0 83 1
88 20 2
66 3 2
74 68 9
97 70 2
51 53 3
52 26 9
30 25 1
39 49 6
53 50 6
7 29 3
12 51 8
95 69 4
61 32 2
95 46 3
17 49 5
35 0 3
45 85 2
80 34 5
80 35 7
0 53 7
25 90 2
21 87 6
69 54 4
70 35 2
27 66 1
14 47 6
80 88 7
92 60 2
50 78 8
47 3 3
38 22 4
39 40 8
67 53 7
47 18 1
43 60 10
38 33 1
13 34 8
22 14 2
86 57 8
36 30 8
26 40 8
36 9 10
37 85 7
15 12 4
52 75 6
6 97 9
42 55 10
67 2 3
25 22 6
34 99 9
43 29 3
75 92 1
45 53 4
91 70 4
51 3 10
47 35 9
11 8 4
99 51 9
4 72 8
90 8 10
24 5 2
18 82 7
25 1 3
86 31 7
77 8 6
61 43 5
78 14 5
62 44 9
20 34 1
68 76 6
31 89 5
15 42 9
93 83 7
35 30 1
72 68 1
77 61 2
86 33 3
19 99 2
67 42 1
24 33 8
35 70 10
41 73 7
16 18 3
53 68 2
84 31 1
32 53 1
89 52 6
89 26 2
78 58 9
83 11 10
95 33 7
53 78 9
95 78 4
7 79 8
92 19 8
59 69 6
38 28 7
81 36 6
24 87 9
42 72 6
31 78 7
70 13 5
53 11 6
14 24 1
62 77 1
97 76 8
50 19 4
5 31 8
22 91 3
58 21 5
68 56 4
14 70 5
48 11 3
33 5 8
99 5 7
47 1 6
46 88 7
10 94 9
56 77 9
83 94 3
62 82 7
40 21 1
32 39 7
40 14 5
4 20 1
45 94 1
37 55 4
73 61 5
40 47 5
14 10 10
13 62 10
55 99 7
44 20 8
41 46 7
34 21 4
19 5 5
64 96 8
44 70 8
55 43 4
43 3 4
78 41 6
35 71 8
32 47 10
37 70 10
40 6 9
16 84 2
21 38 1
35 21 3
55 78 2
8 72 1
44 87 1
58 15 8
52 70 6
17 14 5
58 44 5
45 52 3
79 31 10
44 85 8
82 93 3
24 44 7
91 6 1
90 37 5
20 47 8
47 51 10
70 30 7
35 7 8
94 62 3
67 74 8
55 70 2
48 77 1
97 11 6
36 49 2
66 99 7
32 39 1
91 40 7
82 72 9
93 36 5
33 74 2
54 39 6
34 11 10
42 30 7
6 64 5
49 58 4
70 14 1
4 16 7
77 82 6
66 18 2
89 43 5
59 18 2
56 66 8
96 43 3
10 61 4
11 74 7
24 4 10
87 79 1
24 6 9
33 19 4
37 32 4
82 67 10
2 28 5
98 67 3
2 45 10
45 33 8
87 55 4
81 26 8
1 29 9
80 21 10
96 91 7
60 33 4
96 58 2
49 21 8
92 34 8
7 68 5
26 21 5
58 60 3
94 57 3
62 82 6
93 26 1
50 96 1
63 1 3
80 67 9
73 76 2
63 6 5
87 44 6
12 18 4
70 3 2
8 18 7
93 51 5
80 94 9
63 80 2
17 48 3
70 3 9
9 66 5
14 60 1
4 46 4
3 51 1
71 41 2
97 1 7
51 42 5
3 74 2
54 74 9
27 86 3
92 24 8
76 20 5
86 62 9
