700 3500
487 555 7
210 98 6
324 501 6
305 277 3
195 312 1
565 212 9
245 480 10
536 531 9
256 466 2
463 281 5
694 531 8
169 434 7
198 20 9
90 379 8
71 259 8
690 237 6
202 500 8
277 583 2
37 115 1
592 176 4
98 672 6
474 148 7
648 697 3
77 143 7
598 255 6
280 12 4
501 43 6
215 155 10
218 140 4
305 430 8
557 450 8
468 606 2
379 699 6
87 135 7
336 191 8
193 126 2
82 388 4
486 450 3
673 550 1
358 135 2
99 109 1
22 627 10
694 301 2
252 33 9
127 363 5
321 145 10
331 98 9
460 637 5
253 85 6
351 604 3
608 393 2
151 336 8
502 688 3
434 209 4
144 661 10
471 339 10
93 539 1
151 28 6
682 453 8
132 567 1
469 615 3
386 29 3
71 426 3
664 188 2
388 619 10
44 11 7
526 156 7
626 189 10
353 396 2
416 434 7
491 335 6
522 562 8
381 376 10
285 657 3
551 513 2
463 641 10
359 393 9
174 239 9
349 254 2
36 532 3
41 239 9
411 407 8
339 220 5
186 373 1
541 690 3
604 235 6
324 229 9
475 381 7
381 583 9
392 534 6
590 542 1
523 302 5
435 667 8
148 326 7
472 626 3
517 531 8
576 452 5
194 172 7
613 472 8
281 598 9
190 435 9
173 656 3
85 642 4
525 273 9
54 417 5
247 426 1
596 615 1
358 650 9
173 193 4
599 302 1
485 668 8
629 370 10
92 4 9
125 624 7
530 312 8
583 281 6
207 234 7
604 84 1
174 289 10
533 584 9
634 513 8
574 533 4
312 307 4
93 48 6
74 475 1
651 538 2
378 505 2
568 394 10
71 20 9
488 473 4
246 366 9
536 36 4
680 178 10
294 624 9
197 491 7
270 631 9
410 490 10
145 46 1
350 463 1
61 73 6
62 316 8
59 462 10
500 679 3
349 238 9
12 27 10
62 420 3
408 312 9
448 241 2
308 395 8
637 401 9
236 146 7
243 404 6
667 648 2
294 513 9
457 253 9
141 249 5
104 288 2
678 589 2
124 535 4
504 554 10
251 433 4
158 507 4
132 160 2
149 121 6
64 268 9
432 461 8
329 607 5
155 25 3
164 14 7
254 397 3
469 380 4
116 464 8
375 438 1
125 375 9
624 184 2
361 600 8
90 444 10
121 315 5
541 90 5
35 190 9
396 586 1
353 42 5
696 388 3
403 46 3
654 60 7
67 187 6
376 466 1
218 138 7
61 74 6
507 430 5
349 89 6
306 270 1
438 613 2
557 493 8
76 237 8
155 144 9
504 119 6
373 264 8
71 665 4
93 238 9
205 457 10
438 252 4
512 436 8
643 488 1
193 219 10
327 53 2
530 54 8
592 109 7
26 291 3
142 363 3
350 428 4
498 154 2
608 522 1
254 202 5
621 509 5
262 622 7
445 221 3
529 454 9
634 339 6
510 401 6
379 580 9
672 107 4
327 694 7
474 259 1
258 78 9
148 319 5
417 168 5
186 61 10
262 28 2
442 1 5
169 605 4
488 407 9
181 248 9
398 350 1
432 477 3
211 194 3
92 374 5
315 423 9
166 617 3
639 613 6
595 445 3
662 374 2
443 427 7
328 275 4
431 545 2
538 407 4
182 499 9
159 559 9
13 488 4
109 506 9
510 100 8
357 283 8
228 3 5
47 274 6
129 467 7
407 252 8
285 331 1
112 641 1
164 14 8
302 204 9
589 402 4
655 32 6
186 204 7
391 275 6
644 473 2
149 419 8
284 665 7
311 16 10
318 476 8
206 78 8
41 286 7
94 443 3
135 273 4
609 319 7
419 204 2
657 159 8
442 212 1
75 495 4
53 466 4
579 329 9
141 43 6
531 127 5
513 677 10
673 421 5
539 279 7
114 452 5
531 3 6
678 474 3
647 572 8
428 488 1
689 435 6
